HashFunction,HashOwner,HashApp,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
11bd75f83a144cc93e3f42f289f18bd892dca1913e7d5776e1be9a225bc844ab,c8e6172971ead769affdf91f0d1229345e7c8333f9d5625025eded99a7d5af54,80fe3c48a2705ef64835a01d242375b34890008c7040bcdf4c655d7f4afde5ec,23473,13.344827586206897,5.965517241379311,7.862068965517241,10.517241379310343,12.93103448275862,16.17241379310345,19.448275862068964,22.48275862068965,29.27586206896552
22e19637fde61bd1d62f84068761abee8b4e04ff60bbbb06e87a92198ca3cd61,518953f2a191c3e4ce2c1f365bfd0f778b5e2a40c78433a54758e1ec5385f8b0,10d7cc5cb081fd91acdc4cd88700b2737c9c43d7cb2e6cd393258dbc1748dbf7,16386,22.8,19.8,20.4,22.8,23.0,23.4,24.8,26.8,29.2
7215a844c52ad8fdb51e7d2347a73e0e1f113bbaa17d3ca9a9cd143b3d78adcd,5f3734f85a7ccb54af0a593d6d51af001345eae2f757a5c45654bc5223d3c85d,4a86dfcce790c3148b11e7cf5eeb2585d1bf42b371569d901f8e3dccadc593b5,6657,111.0,93.0,96.0,110.0,113.0,114.0,116.0,134.0,134.0
19d692797ee5c43999810e3ad91fd92e7fc02de39977052521558aea3e46bf2d,8509ee974d1c344a8e7874505e069136c560b2e2b0ebb944af39461bb952a8db,b1dfdaf804671d4e98f5822142aea6309e9a2b0714c803ce088e5341ad0acbaa,22266,196.0,175.0,181.0,190.0,195.0,199.0,221.0,233.0,269.0
f5fdce5b47232a5ceab5f4b85d8414ed6981f5aff678ea4d1763ef4a7fd93f40,d39778d2c7f0524862c995962e460177217f80c3367f5ab87ef0f3826bf4697b,0bf15590ed4b4257650cbbe53ad9cbe7cb181ae2f75cf1eff77fa0dd60e8096f,8632,96.0,66.0,80.0,93.0,97.0,104.0,109.0,109.0,115.0
211a7fcafcd434cd2d3bd50c0b5593ec60389db5f88c3f22e821c7a7e9592484,8514fe827613049166bb6a11cf538d6916075384c7aa742369a87dcfec580ae3,5fa78d2ceaa99048f0ab280af386757b9c68b28c736e9f4748adde68aab70f18,69807,27.142857142857142,19.428571428571427,19.857142857142858,26.142857142857142,29.0,29.571428571428573,31.0,33.142857142857146,34.857142857142854
f5b31925b5656ddcf82d8b7251601d0533d6d9c4bf0154a9d96f22deae52dd80,87b3387769103e27e35a340be403b699f5c966ce1d3559e456950cf6c02686b4,7d8959f115f56de92ef7a230b11d031989d07ca64ee1246c02e32440a82a62f0,1094,106.0,65.0,87.0,103.0,105.0,114.0,132.0,133.0,133.0
cac0fcc3d61db78e5381898a4b7cf1108f364399a9979910a35112db53376d43,2773bf926c17b6f4bc0268929407df5f04f5b91254aaa4c750ee1903c94f99fa,7bb6e812d735ae41541b31d6f24ca826900b83b1100e03b55f9ce2a519b5ddfd,34675,21.933333333333334,21.6,21.666666666666668,21.73333333333333,21.866666666666667,22.0,22.2,26.8,27.066666666666663
b2dc0254d766193cd30ec2a8570247aa672405fcb2831051f90487a20a39f167,d8dbbd9e2962bd4e176ad8f43880615455d5a0e4200f6390d3b48d625b58d6d7,d060548c5ced4ad8750794f4ecef3acb41dfab848e4b11fd874b210dd731915e,17230,47.75,47.75,47.75,47.75,47.75,47.75,48.0,48.0,48.0
ef247e55bdc3f21f4f9e1372745b59e556aad3555f9379bbe614458f0bf34dda,c7806322ba3f907a33d7850e7773a9bea7a7e8d18aa083d69f81c45b034f897d,73997dbcee7acaa9bc5137a5785d6d66863d625a87e7b87ef822c016f61b2b0f,21257,120.0,108.0,112.0,112.0,113.0,127.0,146.0,151.0,151.0
